     hat_id      | ndet  |                           full_lc_fpath
 HAT-059-0000744 |  3467 | 059/HAT-059-0000744-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000753 |  3445 | 059/HAT-059-0000753-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000797 |  3439 | 059/HAT-059-0000797-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000834 |  3468 | 059/HAT-059-0000834-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000847 |  3473 | 059/HAT-059-0000847-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000893 |  3472 | 059/HAT-059-0000893-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0000954 |  3473 | 059/HAT-059-0000954-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001004 |  3469 | 059/HAT-059-0001004-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001018 |  3470 | 059/HAT-059-0001018-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001023 |  3471 | 059/HAT-059-0001023-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001175 |  3468 | 059/HAT-059-0001175-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001219 |  3422 | 059/HAT-059-0001219-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001253 |  3444 | 059/HAT-059-0001253-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001350 |  3443 | 059/HAT-059-0001350-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001477 |  3473 | 059/HAT-059-0001477-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001575 |  3467 | 059/HAT-059-0001575-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001592 |  3470 | 059/HAT-059-0001592-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001673 |  3472 | 059/HAT-059-0001673-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001698 |  3464 | 059/HAT-059-0001698-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0001755 |  3470 | 059/HAT-059-0001755-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0002031 |  3473 | 059/HAT-059-0002031-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0002492 |  3459 | 059/HAT-059-0002492-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0002687 |  3240 | 059/HAT-059-0002687-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0003017 |  3456 | 059/HAT-059-0003017-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0003890 |  3473 | 059/HAT-059-0003890-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0004278 |  3469 | 059/HAT-059-0004278-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0005518 |  2831 | 059/HAT-059-0005518-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0008878 |  3473 | 059/HAT-059-0008878-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0009197 |  3473 | 059/HAT-059-0009197-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0021266 |  3470 | 059/HAT-059-0021266-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0066663 |  3461 | 059/HAT-059-0066663-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0074544 |  3454 | 059/HAT-059-0074544-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0078843 |  3471 | 059/HAT-059-0078843-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0237480 |  3472 | 059/HAT-059-0237480-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-059-0808952 |  3430 | 059/HAT-059-0808952-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0000050 |   192 | 061/HAT-061-0000050-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0000062 | 23955 | 061/HAT-061-0000062-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0000091 | 23953 | 061/HAT-061-0000091-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0000207 | 23947 | 061/HAT-061-0000207-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0000232 |    10 | 061/HAT-061-0000232-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0000247 | 23955 | 061/HAT-061-0000247-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0000296 |   151 | 061/HAT-061-0000296-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
 HAT-061-0000454 | 23953 | 061/HAT-061-0000454-8dc7a897a5144f63854c9f8d8b543069-hatlc.csv.gz
